index,lat,lng,city,country,temp,humidity,cloudiness,windspeed,max_temp
419,-5.849792486109465,-16.597304678804733,georgetown,sh,78.75,81,83,17.56,78.75
421,37.49610929859202,146.98607572323198,kamaishi,jp,26.6,73,75,6.93,26.6
424,67.69025770952038,137.99867143528792,deputatskiy,ru,-30.95,83,84,2.82,-30.95
425,51.015217191957476,-123.79902690024595,pemberton,ca,39.2,93,75,5.82,39.2
426,37.68590561225582,-31.119786080415736,ribeira grande,pt,59.2,89,94,16.71,59.2
427,46.092768809876475,37.679403426629335,kamyshevatskaya,ru,34.25,86,0,3.38,34.25
432,28.039682253604454,-88.40528087521675,pascagoula,us,49.84,100,90,9.17,51.8
438,27.26016440125693,-23.999897687557365,los llanos de aridane,es,61.39,67,90,8.05,62.6
439,33.52283334318538,-65.22193559132783,saint george,bm,65.46,82,90,8.05,66.2
443,48.53598703258609,-67.13297767437221,causapscal,ca,27.0,85,100,4.0,28.0
445,5.6667466844563705,157.6742032263641,namatanai,pg,84.42,73,44,8.25,84.42
446,-10.841291615327549,3.324480811302834,namibe,ao,74.62,75,29,6.8,74.62
447,22.235453199824235,13.210986970793272,bilma,ne,61.61,13,68,7.61,61.61
449,-21.628311951743797,164.85647873277446,poya,nc,78.08,76,74,11.07,78.08
456,9.652152497524668,86.95672293964952,batticaloa,lk,67.39,92,100,3.04,67.39
461,25.34583588417094,-107.95992635751308,mocorito,mx,79.68,58,0,5.99,80.01
462,11.963240874876064,79.67357866165878,valavanur,in,67.32,83,81,4.41,67.32
464,51.05487748502301,-21.188555469687856,dingle,ie,45.61,64,93,32.79,45.61
466,40.94741898845851,7.740356615010427,porto torres,it,43.86,93,0,2.24,46.0
467,-35.64784942185841,177.40827782065986,tairua,nz,78.01,72,19,7.0,77.0
471,-37.34147106963986,127.96033895518372,esperance,au,62.6,100,75,6.93,64.4
473,2.007505305084493,-26.743495224438874,touros,br,80.6,83,40,4.7,80.6
476,33.005544767259664,-15.390512704806753,porto santo,pt,59.0,77,20,2.55,59.0
478,45.418471344611476,-167.46190778192906,bethel,us,39.38,60,90,3.36,43.0
482,38.95338826935799,-60.40115129168228,halifax,ca,40.93,100,90,10.29,42.01
483,32.56234947763208,138.77241740195984,shimoda,jp,45.0,70,75,16.11,48.2
486,28.70654279978909,50.057996687193366,bushehr,ir,52.11,69,0,9.04,52.11
